Question,Answer,Name
"bis","twice",bis
"cito","quickly",cito
"crās","tomorrow",crās
"heri","yesterday",heri
"hodiē","today",hodiē
"ibi","there",ibi
"lentē","slowly",lentē
"nōn","not",nōn
"nunc","now, at present",nunc
"omnīnō","wholly",omnīnō
"palam","openly",palam
"quārē","lit. because of which thing more commonly therefore, wherefore, why",quārē
"saepe","often",saepe
"sēcrētē","in secret",sēcrētē
"semper","always",semper
"tum","then, at that time; thereupon, in the next place",tum
"ubi","where, when",ubi
